user_id,product_id,rating,timestamp
32,134,2,2024-10-23
49,113,1,2024-09-01
77,21,4,2024-12-12
48,75,1,2025-02-27
28,9,5,2025-07-15
48,18,1,2024-01-08
30,8,1,2025-08-12
6,86,5,2024-01-28
76,29,1,2025-02-16
33,57,3,2024-01-17
93,36,3,2024-03-23
85,70,1,2024-11-22
95,100,1,2025-04-19
47,79,4,2024-10-13
26,145,1,2024-08-08
25,131,4,2024-11-23
56,81,4,2025-07-02
73,19,1,2025-05-10
78,76,5,2025-10-28
38,11,1,2025-06-08
62,36,3,2023-12-02
15,127,3,2025-10-03
20,131,5,2023-12-14
59,51,2,2024-04-15
9,114,3,2024-11-10
39,138,3,2024-09-05
24,120,3,2024-08-08
61,116,4,2024-04-15
98,51,2,2025-08-21
82,135,4,2024-07-27
27,53,4,2025-06-04
49,81,4,2023-12-03
68,52,4,2025-05-13
7,16,3,2024-12-15
9,101,3,2024-11-02
79,17,3,2025-08-24
61,139,2,2024-08-09
30,57,3,2025-09-09
24,30,3,2025-05-19
13,125,2,2025-08-05
79,134,5,2024-05-17
17,57,4,2025-06-15
20,66,2,2024-05-28
19,51,3,2025-02-12
95,37,5,2023-12-06
8,113,1,2025-05-08
19,62,1,2025-05-26
100,87,2,2023-12-18
2,1,4,2025-05-30
29,38,3,2024-04-22
82,71,3,2025-02-12
36,16,3,2025-07-22
26,115,3,2024-01-25
70,138,4,2025-09-06
46,87,3,2024-05-10
2,12,3,2024-07-11
95,47,3,2025-05-29
74,65,3,2024-02-11
30,14,5,2023-11-15
73,133,2,2025-04-13
26,36,1,2024-11-10
27,43,5,2025-04-29
100,56,2,2025-05-31
7,22,5,2024-09-03
92,28,4,2025-05-11
51,74,3,2024-10-03
7,132,1,2024-07-22
67,113,2,2024-01-06
12,17,2,2024-01-01
100,142,3,2024-06-23
82,16,3,2025-09-08
24,43,4,2025-02-07
80,51,1,2023-12-03
7,59,5,2023-12-23
21,95,3,2025-03-16
49,58,1,2024-11-12
93,119,2,2024-07-24
6,57,5,2024-05-03
44,116,4,2025-06-24
84,107,1,2025-04-07
28,49,4,2025-10-06
55,50,3,2024-03-21
73,8,4,2024-08-11
82,4,2,2025-03-22
96,26,4,2024-11-29
6,135,1,2025-10-17
42,63,3,2025-06-17
14,112,2,2025-06-24
74,105,3,2025-06-20
21,27,1,2024-03-25
68,108,3,2025-01-29
61,22,2,2025-03-14
36,22,5,2025-07-14
21,26,4,2024-04-27
52,14,4,2025-05-01
42,55,4,2025-08-21
27,133,1,2024-05-20
35,132,4,2024-05-13
49,128,4,2024-07-15
10,20,1,2024-03-17
6,150,2,2025-04-13
84,42,1,2024-07-27
81,102,2,2024-10-26
62,55,1,2024-10-03
78,95,4,2025-06-01
71,83,5,2023-12-27
90,22,4,2024-02-14
9,92,5,2024-01-02
20,7,5,2025-07-31
3,3,2,2024-08-21
56,120,3,2024-05-02
6,139,2,2024-07-01
30,57,4,2024-07-24
77,116,5,2025-04-07
10,89,5,2024-02-10
93,49,4,2024-12-05
61,73,5,2024-11-23
66,104,5,2024-11-20
70,121,2,2024-01-02
24,94,4,2025-01-04
40,59,2,2024-05-01
60,40,2,2025-02-18
97,27,3,2025-06-05
76,56,5,2024-02-13
86,28,1,2024-03-26
92,108,5,2024-08-31
24,29,1,2025-03-04
63,94,5,2024-08-21
37,129,5,2024-07-28
96,45,1,2024-10-12
64,120,2,2025-04-12
72,73,2,2024-05-27
99,21,5,2025-05-09
51,94,3,2024-03-18
3,16,1,2025-10-04
29,135,1,2025-07-23
23,25,5,2025-06-17
33,75,4,2025-04-03
26,16,2,2024-03-27
58,59,5,2024-03-18
44,148,2,2024-06-19
96,79,1,2025-04-11
30,41,1,2025-03-09
20,135,2,2024-02-19
87,11,4,2023-11-18
96,137,3,2025-09-23
8,82,1,2024-12-03
50,53,5,2025-03-23
