user_id,product_id,rating,timestamp
503,100,2,2024-11-22 02:52:18.594032
542,230,5,2025-03-27 02:52:18.594032
94,8,1,2025-06-03 02:52:18.594032
965,151,5,2025-04-20 02:52:18.594032
85,6,3,2025-03-08 02:52:18.594032
962,251,1,2025-04-12 02:52:18.594032
611,207,4,2025-05-31 02:52:18.594032
921,218,2,2025-01-29 02:52:18.594032
613,296,3,2025-01-11 02:52:18.594032
837,59,1,2025-05-20 02:52:18.594032
643,123,4,2025-03-29 02:52:18.594032
81,133,2,2025-09-28 02:52:18.594032
680,35,1,2025-02-22 02:52:18.594032
991,217,1,2025-10-31 02:52:18.594032
91,80,5,2025-03-09 02:52:18.594032
204,29,4,2025-08-07 02:52:18.594032
23,292,4,2025-07-19 02:52:18.594032
581,192,5,2025-02-08 02:52:18.594032
627,133,1,2024-12-13 02:52:18.594032
900,278,4,2025-01-29 02:52:18.594032
160,109,2,2024-11-08 02:52:18.594032
776,83,1,2025-08-26 02:52:18.594032
722,17,4,2024-12-31 02:52:18.594032
291,161,4,2025-09-17 02:52:18.594032
520,184,4,2025-07-21 02:52:18.594032
936,228,2,2024-12-31 02:52:18.594032
877,14,2,2025-06-22 02:52:18.594032
567,264,4,2024-12-07 02:52:18.594032
245,158,2,2025-06-24 02:52:18.594032
64,208,5,2025-09-19 02:52:18.594032
595,239,3,2024-12-27 02:52:18.594032
590,36,5,2024-11-22 02:52:18.594032
57,210,3,2024-11-21 02:52:18.594032
278,256,1,2025-03-28 02:52:18.594032
32,194,4,2025-06-13 02:52:18.594032
754,169,1,2025-09-22 02:52:18.594032
539,76,5,2024-12-20 02:52:18.594032
191,244,1,2025-04-18 02:52:18.594032
290,180,5,2025-05-24 02:52:18.594032
533,201,5,2025-04-16 02:52:18.594032
851,33,4,2025-08-03 02:52:18.594032
284,117,5,2024-11-25 02:52:18.594032
838,239,1,2025-10-31 02:52:18.594032
23,263,3,2025-03-11 02:52:18.594032
866,260,3,2025-07-11 02:52:18.594032
336,89,3,2025-06-08 02:52:18.594032
989,153,3,2025-06-04 02:52:18.594032
820,128,2,2025-01-23 02:52:18.594032
438,39,4,2025-06-03 02:52:18.594032
61,165,3,2024-12-18 02:52:18.594032
208,182,4,2025-06-18 02:52:18.594032
226,124,4,2024-12-12 02:52:18.594032
185,127,2,2025-08-13 02:52:18.594032
751,3,3,2025-04-07 02:52:18.594032
821,173,5,2025-09-04 02:52:18.594032
668,263,1,2024-11-09 02:52:18.594032
7,122,2,2025-07-04 02:52:18.594032
